Idweb,Short_ref,full_plants,full_insects,full_inter,dipt_plants,dipt_insects,dipt_inter,hymeno_plants,hymeno_insects,hymeno_inter,Mean_T_IPCC,T_Seasonality_IPCC,Tot_Rainfall_IPCC,Rainfall_Seasonality_IPCC,HF,Annual_time_span,Sampling_time,Sampling_effort,Sampling_type,taxo_full_sp_perc,Location,Country_location,Latitude_dec,Longitude_dec,Year,Complete_ref,Source
84,Lara-Romero et al 2016,22,147,511,21,50,183,21,41,161,"5,2","5,925",787,24,10,45,480,"0,148",T,"69,23","Sierra de Guadarrama, Spain", Spain,"40,91","-3,9",2011,"Lara-Romero, C., García, C., Morente-López, J., & Iriondo, J. M. (2016). Direct and indirect effects of shrub encroachment on alpine grasslands mediated by plant–flower visitor interactions. Functional Ecology, 30(9), 1521–1530. ",DRYAD: http://dx.doi.org/10.5061/dryad.p869n + original publication
85,"Lemus-Jimenez & Ramirez, 2003",50,44,152,17,5,20,43,21,79,"27,8","1,035",434,67,26,365,1500,"0,682",TO,"64,89","Paraguaná peninsula, Venezuela", Venezuela,"11,67","-69,77",1999,"Lemus-Jiménez, L. J., & Ramírez, N. (2003). Polinizacion y polinizadores en la vegetacion de la planicie costera de Paraguana, Estado falcon Venezuela. Acta Cientifica Venezolana, 54(2), 97–114.",original publication
86,"Lundgen & Olesen, 2005",17,25,62,14,20,49,1,1,1,"-6,5","8,458",266,32,0,34,68,"0,16",TO,"61,9","northwest Greenland, Uummannaq Island", Island,"70,71","-52,16",2002,"Lundgren, R., & Olesen, J. M. (2005). The dense and highly connected world of greenland’s plants and their pollinators. Arctic, Antarctic, and Alpine Research, 37(4), 514–520. ",Web of life: ecological networks database (http://www.web-of-life.es/) + original publication
87,"Marrero et al., 2013",22,110,255,16,37,87,19,42,96,"15,5","5,075",970,37,20,120,16,"0,007",TO,"48,48"," pampas region in Buenos Aires province, Argentina", Argentina,"-35,93","-61,18",2010,"Marrero, H. J., Torretta, J. P., & Pompozzi, G. (2013). Triple interaction network among flowers, flower visitors and crab spiders in a grassland ecosystem. Studies on Neotropical Fauna and Environment, 48(3), 153–164. ",orginal pub
89,"Montero-Castano et al., 2017",22,66,149,13,24,31,19,26,53,"16,9","5,006",596,53,21,60,156,"0,107",TO,"78,41","Menorca Island, Spain", Spain,"39,97","4,2",2010,"Montero-Castaño, A., & Vilà, M. (2017). Influence of the honeybee and trait similarity on the effect of a non-native plant on pollination and network rewiring. Functional Ecology, 31(1), 142–152",DRYAD: http://dx.doi.org/10.5061/dryad.77rn2  + original publication
90,"Kehinde & Samways, 2014",36,69,172,21,17,42,25,17,64,"16,6","3,531",816,61,44,90,48,"0,019",T,"46,67","Stellenbosch wine region,South Africa", South Africa,"-33,87","18,83",2010,"Kehinde, T., & Samways, M. J. (2014). Insect-flower interactions: Network structure in organic versus conventional vineyards. Animal Conservation, 17(5), 401–409. http://doi.org/10.1111/acv.12118
Kehinde, T. (2011). Effects of vineyard management and landscape context on taxonomic diversity and interaction networks of flower-visiting insects in the Cape Floristic Region biodiversity. University of Stellenbosch. ",original publication + thesis
97,"Pinheiro et al., 2008",106,217,766,58,59,204,102,110,485,"18,8","3,476",1454,11,24,365,404,"0,018",TO,"53,25","Parque Estadual de Itapuã, Rio Grande do Sul State, Brazil", Brazil,"-30,35","-51,04",2003,"Pinheiro, M., De Abrão, B. E., Harter-Marques, B., & Miotto, S. T. S. (2008). Floral resources used by insects in a grassland community in Southern Brazil. Revista Brasileira de Botanica, 31(3), 469–489. ",original publication
100,"Trojelsgaard et al., 2015",10,53,83,9,30,43,9,15,28,"19,8","2,597",268,89,38,71,"42,1","0,079",TO,"71,43","El Hierro, Canary Islands",Canary Islands (Spain),"27,8","-17,9",2010,"Trøjelsgaard, K., Jordano, P., Carstensen, D. W., & Olesen, J. M. (2015). Geographical variation in mutualistic networks: Similarity, turnover and partner fidelity. Proceedings of the Royal Society B: Biological Sciences, 282(1802), 1–9. ",DRYAD:  http://dx.doi.org/10.5061/dryad.76173
101,"Trojelsgaard et al., 2015",14,47,105,11,22,37,13,17,51,"18,1","2,801",357,86,18,71,"42,1","0,064",TO,"80,33","La Gomera, Canary Islands",Canary Islands (Spain),"28,04","-17,23",2010,"Trøjelsgaard, K., Jordano, P., Carstensen, D. W., & Olesen, J. M. (2015). Geographical variation in mutualistic networks: Similarity, turnover and partner fidelity. Proceedings of the Royal Society B: Biological Sciences, 282(1802), 1–9. ",DRYAD:  http://dx.doi.org/10.5061/dryad.76173
102,"Trojelsgaard et al., 2015",11,49,99,6,18,27,10,20,45,"19,7","2,384",172,87,72,71,"42,1","0,078",TO,"78,33","Gran Canaria, Canary Islands",Canary Islands (Spain),"27,9","-15,43",2010,"Trøjelsgaard, K., Jordano, P., Carstensen, D. W., & Olesen, J. M. (2015). Geographical variation in mutualistic networks: Similarity, turnover and partner fidelity. Proceedings of the Royal Society B: Biological Sciences, 282(1802), 1–9. ",DRYAD:  http://dx.doi.org/10.5061/dryad.76173
103,"Trojelsgaard et al., 2015",8,55,85,8,26,37,8,15,23,"18,8","2,507",128,92,14,71,"42,1","0,096",TO,"60,32","Fuerteventura, Canary Islands",Canary Islands (Spain),"28,56","-13,89",2010,"Trøjelsgaard, K., Jordano, P., Carstensen, D. W., & Olesen, J. M. (2015). Geographical variation in mutualistic networks: Similarity, turnover and partner fidelity. Proceedings of the Royal Society B: Biological Sciences, 282(1802), 1–9. ",DRYAD:  http://dx.doi.org/10.5061/dryad.76173
104,"Trojelsgaard et al., 2015",11,60,100,7,22,33,11,28,52,21,"2,859",44,104,10,71,"42,1","0,064",TO,"39,44",Western Sahara, Western Sahara,"26,16","-14,42",2010,"Trøjelsgaard, K., Jordano, P., Carstensen, D. W., & Olesen, J. M. (2015). Geographical variation in mutualistic networks: Similarity, turnover and partner fidelity. Proceedings of the Royal Society B: Biological Sciences, 282(1802), 1–9. ",DRYAD:  http://dx.doi.org/10.5061/dryad.76173
